TIPLOC,NAME,EASTING,NORTHING
IPSW832,IPSWICH SIGNAL CO832,614444,244665
JAMCOK,JAMES COOK,451296,517701
KETR617,KETTERING SIG LR617,486964,276741
KETRHBS,KETTERING HOT BOX SDG,486397,277689
KETTK3,KETTON SIG K3,500039,305367
KITTSCA,SCATTER BURNS IBS,390518,809371
KLYNNTG,KINGS LYNN T.C. GBRF,562570,320102
KNCDNLC,KINCARDINE LEVEL XING,292835,687518
KNGX303,BELLE ISLE SIGNAL 303,530270,183827
KNNGGLP,KENNINGTON GOODS LOOP,451969,203300
KNOKSCH,KNOCKSHINNOCH WASHERY,260655,612344
KNTN417,KNOTTINGLEY SIG FE6417,449486,423527
KNTN418,KNOTTINGLEY SIG FE6418,449710,423598
LACKGBF,LACKENBY SSI GBRf,455557,522432
LANBDRN,LLANBADARN,259701,280775
LCHRDGJ,LOCHRIDGE JUNCTION,241341,644306
LDRE283,LANDORE SIGNAL PT283,266018,195078
LEABDGE,LEA BRIDGE,536273,187050
LEAG591,LEAGRAVE SHUNT SIG 591,506457,223808
LEDB435,LEDBURN SIGNAL TK1435,491887,220055
LEED692,LEEDS SIGNAL 3692,430450,433341
LEST326,KNIGHTON JN SIGNAL LR326,458973,301724
LEWIVLJ,LEWISHAM VALE JUNCTION,537457,176294
LILLE,LILLE EUROPE,260885,667397
LLHARAN,LLANHARAN,300120,183067
LLHLETH,LLANHILLETH,321759,200736
LNDNASJ,ABBEY STREET JUNCTION,534027,179304
LNDNBCJ,BRUNSWICK COURT JUNCTION,533837,179451
LNGY972,LANGLEY JN SIG WL1972,524485,222051
LNGY974,LANGLEY JN SIG WL1974,524710,221828
LOGH675,LOUGHBOROUGH SIGNAL 675,454085,320706
LOVR243,LOVERS WALK SIGNAL T1243,530469,105840
LOVR246,LOVERS WALK SIGNAL T1246,530511,105805
LTLH11,LITTLEHAMPTON SIGNAL LH11,502095,102433
LUTO614,LUTON SIGNAL 614,509001,221691
LUTOGBR,LUTON CRESCENT ROAD (GBRF),509639,221472
